Key,File,Type,UsedInMainMenu,NoTranslate,english,japanese
armorWafuuTaishoLegs,items,Item,,,Taisho Suneate (Grand Greaves),大将脛当
armorWafuuTaishoLegs_desc,items,Item,,,"Steel greaves fit for a warlord. Built to withstand anything.","武将にふさわしい鋼の脛当て。あらゆる攻撃に耐える。"
perkWafuuSwordsmanship,progression,Perk,,,Wafuu Swordsmanship,剣術
perkWafuuSwordsmanship_desc,progression,Perk,,,"Master the way of the blade. Increase sword damage and unlock katana recipes.","剣の道を極める。刀剣のダメージを上げ、刀のレシピを解放。"
perkWafuuSpearmanship,progression,Perk,,,Wafuu Spearmanship,槍術
perkWafuuSpearmanship_desc,progression,Perk,,,"Master the art of the spear. Increase reach and damage with polearms.","槍の技を極める。長柄武器のリーチとダメージを向上。"
perkWafuuArchery,progression,Perk,,,Wafuu Archery,弓術
perkWafuuArchery_desc,progression,Perk,,,"Master the way of the bow. Increase draw speed and damage with Japanese bows.","弓の道を極める。和弓の引き速度とダメージを向上。"
perkWafuuNinjutsu,progression,Perk,,,Wafuu Ninjutsu,忍術
perkWafuuNinjutsu_desc,progression,Perk,,,"Master the shadow arts. Move silently, strike from stealth, and unlock shinobi gear.","忍びの術を極める。静かに動き、隠密攻撃を強化し、忍装束を解放。"
perkWafuuSmithing,progression,Perk,,,Wafuu Smithing,鍛冶
perkWafuuSmithing_desc,progression,Perk,,,"Master the forge. Craft better quality weapons and armor, and unlock advanced recipes.","鍛冶の技を極める。より高品質な武器・防具を作り、上位レシピを解放。"
wafuuTsuchikabe,blocks,Block,,,Tsuchikabe (Earth Wall),土壁
wafuuTsuchikabe_desc,blocks,Block,,,"Traditional earth wall. Made from clay and wood. Moderate durability.","伝統的な土壁。粘土と木材で作る。中程度の耐久性。"
wafuuShikkui,blocks,Block,,,Shikkui (Plaster Wall),漆喰壁
wafuuShikkui_desc,blocks,Block,,,"White plastered wall. Smooth and strong. A hallmark of Japanese architecture.","白い塗り壁。滑らかで丈夫。和風建築の象徴。"
wafuuItakabe,blocks,Block,,,Itakabe (Plank Wall),板壁
wafuuItakabe_desc,blocks,Block,,,"Wooden plank wall. Easy to build and repair.","木の板壁。建設と修理が容易。"
wafuuIshigaki,blocks,Block,,,Ishigaki (Stone Wall),石垣
wafuuIshigaki_desc,blocks,Block,,,"Castle-style stone wall. Very durable. Stacks beautifully.","城壁風の石積み。非常に丈夫。美しく積み上がる。"
wafuuNamakokabe,blocks,Block,,,Namako Wall,なまこ壁
wafuuNamakokabe_desc,blocks,Block,,,"Tile-patterned wall with raised mortar joints. Distinctive and strong.","格子模様の目地が浮き出た壁。独特で丈夫。"
wafuuTatami,blocks,Block,,,Tatami (Straw Mat Floor),畳
wafuuTatami_desc,blocks,Block,,,"Traditional straw mat flooring. The soul of a Japanese room.","伝統的な畳の床。和室の心。"
wafuuItabari,blocks,Block,,,Itabari (Wood Floor),板張り
wafuuItabari_desc,blocks,Block,,,"Wooden plank flooring. Sturdy and warm.","木の板張りの床。頑丈で温かみがある。"
wafuuIshidatami,blocks,Block,,,Ishidatami (Stone Pavement),石畳
wafuuIshidatami_desc,blocks,Block,,,"Stone pavement. Durable outdoor flooring.","石畳の床。屋外向けの丈夫な床材。"
wafuuKawaraBlack,blocks,Block,,,Kawara Black (Roof Tile),瓦屋根（黒）
wafuuKawaraBlack_desc,blocks,Block,,,"Traditional black roof tiles. Classic Japanese roofing.","伝統的な黒い瓦。和風屋根の定番。"
wafuuKawaraRed,blocks,Block,,,Kawara Red (Roof Tile),瓦屋根（赤）
wafuuKawaraRed_desc,blocks,Block,,,"Red-glazed roof tiles. Seen on temples and shrines.","赤い釉薬の瓦。寺社に見られる。"
wafuuShoji,blocks,Block,,,Shoji (Paper Screen Door),障子
wafuuShoji_desc,blocks,Block,,,"Sliding paper screen. Lets in soft light.","紙の引き戸。柔らかい光を通す。"
wafuuFusuma,blocks,Block,,,Fusuma (Sliding Door),襖
wafuuFusuma_desc,blocks,Block,,,"Opaque sliding door for room partitions.","部屋の仕切り用の不透明な引き戸。"
wafuuKoshido,blocks,Block,,,Koshido (Lattice Door),格子戸
wafuuKoshido_desc,blocks,Block,,,"Wooden lattice door. Decorative and sturdy.","木製の格子戸。装飾的で頑丈。"
wafuuHikido,blocks,Block,,,Hikido (Sliding Door),引き戸
wafuuHikido_desc,blocks,Block,,,"Solid wooden sliding door.","頑丈な木製の引き戸。"
wafuuMarubashira,blocks,Block,,,Marubashira (Round Pillar),丸柱
wafuuMarubashira_desc,blocks,Block,,,"Round wooden pillar. Essential structural element.","丸い木柱。基本的な構造材。"
wafuuKakubashira,blocks,Block,,,Kakubashira (Square Pillar),角柱
wafuuKakubashira_desc,blocks,Block,,,"Square wooden pillar. Clean lines for modern builds.","四角い木柱。すっきりした見た目。"
wafuuToriiPillar,blocks,Block,,,Torii Pillar,鳥居柱
wafuuToriiPillar_desc,blocks,Block,,,"A sacred gateway pillar. Use two with a lintel to build a torii gate.","神聖な門柱。2本と横木で鳥居を組む。"
wafuuChabudai,blocks,Block,,,Chabudai (Low Table),ちゃぶ台
wafuuChabudai_desc,blocks,Block,,,"A traditional low table for floor seating.","床に座って使う伝統的な低いテーブル。"
wafuuZabuton,blocks,Block,,,Zabuton (Floor Cushion),座布団
wafuuZabuton_desc,blocks,Block,,,"A flat cushion for sitting on tatami floors.","畳の上に座るための平たい座布団。"
wafuuFuton,blocks,Block,,,Futon (Bedding),布団
wafuuFuton_desc,blocks,Block,,,"Traditional Japanese bedding laid on the floor.","床に敷く伝統的な寝具。"
wafuuTansu,blocks,Block,,,Tansu (Cabinet),箪笥
wafuuTansu_desc,blocks,Block,,,"Wooden storage cabinet with drawers. Can store items.","引き出し付きの木製収納。アイテムを保管できる。"
wafuuByobu,blocks,Block,,,Byobu (Folding Screen),屏風
wafuuByobu_desc,blocks,Block,,,"A decorative folding screen for room partitions.","部屋の仕切りに使う装飾的な屏風。"
wafuuAndon,blocks,Block,,,Andon (Paper Lantern),行灯
wafuuAndon_desc,blocks,Block,,,"A wooden-framed paper lantern for indoor lighting.","木枠の紙灯籠。室内照明に。"
zombieWafuuKusamusha,entities,Entity,,,Kusamusha (Armored Zombie),腐武者
zombieWafuuKusamusha_desc,entities,Entity,,,"A zombie clad in rotting samurai armor. High frontal defense makes it difficult to put down — use fire or attack from the sides.","朽ちた鎧を纏ったゾンビ武士。前面の防御が高く、正面からは倒しにくい。炎や側面攻撃が有効。"
zombieWafuuOnryo,entities,Entity,,,Onryo (Vengeful Spirit),怨霊
zombieWafuuOnryo_desc,entities,Entity,,,"A ghost-like entity driven by unending rage. Physical attacks barely affect it. Fire is its greatest weakness — keep a torch ready.","尽きぬ怨みに駆られた霊的存在。物理攻撃がほぼ通らない。炎が最大の弱点。松明を常備せよ。"
zombieWafuuGaki,entities,Entity,,,Gaki (Hunger Wraith),餓鬼
zombieWafuuGaki_desc,entities,Entity,,,"A small, swift zombie tormented by eternal hunger. Weak alone but they never travel alone.","永遠の飢えに苦しむ小さく素早いゾンビ。単体は弱いが、必ず群れでやってくる。"
zombieWafuuOni,entities,Entity,,,Oni (Demon),鬼
zombieWafuuOni_desc,entities,Entity,,,"A massive demon zombie. Enormous health and bone-crushing knockback. Prioritize distance and heavy weapons.","巨大な鬼のゾンビ。圧倒的なHPと骨砕きノックバック。距離を保ち重火器で対処せよ。"
zombieWafuuKappa,entities,Entity,,,Kappa (River Imp),河童
zombieWafuuKappa_desc,entities,Entity,,,"A water-dwelling imp that lurks near rivers and rice paddies. Slower on land, but its charge is still deadly.","川や水田の近くに潜む水棲の妖怪。陸上では遅いが突進は侮れない。"
zombieWafuuBakeTanuki,entities,Entity,,,Bake-Tanuki (Trickster),化け狸
zombieWafuuBakeTanuki_desc,entities,Entity,,,"A shapeshifting tanuki spirit. It dodges and dashes to confuse. Kill it for rare crafting ingredients.","姿を変える狸の妖怪。翻弄するように逃げ回る。倒すとレアな素材を落とすことがある。"
zombieWafuuHannya,entities,Entity,,,Hannya (Demon Mask),般若
zombieWafuuHannya_desc,entities,Entity,,,"A screaming female ghost whose wail empowers nearby undead. Kill it first — or the whole horde gets stronger.","叫び声で周囲のゾンビを強化する般若の霊。最優先で排除しなければ、群れ全体が凶悪になる。"
wafuuChochin,blocks,Block,,,Chochin (Hanging Lantern),提灯
wafuuChochin_desc,blocks,Block,,,"A hanging paper lantern. Toggleable light source.","吊り下げ式の提灯。明かりのON/OFF可能。"
wafuuIshidoro,blocks,Block,,,Ishidoro (Stone Lantern),石灯籠
wafuuIshidoro_desc,blocks,Block,,,"A stone garden lantern. Durable outdoor lighting.","石の庭灯籠。屋外向けの丈夫な照明。"
wafuuKakejiku,blocks,Block,,,Kakejiku (Hanging Scroll),掛け軸
wafuuKakejiku_desc,blocks,Block,,,"A decorative hanging scroll for wall display.","壁に飾る装飾的な掛け軸。"
wafuuKamidana,blocks,Block,,,Kamidana (Spirit Shelf),神棚
wafuuKamidana_desc,blocks,Block,,,"A household Shinto altar shelf. Brings blessings.","家庭用の神道の祭壇。福をもたらす。"
wafuuBonsai,blocks,Block,,,Bonsai,盆栽
wafuuBonsai_desc,blocks,Block,,,"A miniature tree in a pot. Living art.","鉢植えの小さな木。生きた芸術。"
wafuuTakegaki,blocks,Block,,,Takegaki (Bamboo Fence),竹垣
wafuuTakegaki_desc,blocks,Block,,,"A bamboo fence for gardens and boundaries.","庭や境界用の竹の垣根。"
wafuuTakeyariBarricade,blocks,Block,,,Takeyari Barricade (Bamboo Spikes),竹槍バリケード
wafuuTakeyariBarricade_desc,blocks,Block,,,"Sharpened bamboo spikes. Damages enemies on contact.","尖った竹の杭。接触した敵にダメージを与える。"
wafuuCastleGate,blocks,Block,,,Castle Gate,城門
wafuuCastleGate_desc,blocks,Block,,,"A massive reinforced gate fit for a castle. Extremely durable.","城にふさわしい巨大な強化門。極めて丈夫。"
wafuuYazama,blocks,Block,,,Yazama (Arrow Slit Wall),矢狭間
wafuuYazama_desc,blocks,Block,,,"A fortified wall with narrow slits for shooting through.","射撃用の細いスリットが付いた防壁。"
thrownWafuuShuriken,items,Item,,,Shuriken,手裏剣
thrownWafuuShuriken_desc,items,Item,,,"A forged iron throwing star. Light and lethal — aim for the head.","鍛鉄製の投げ星。軽量で即死級。頭部を狙え。"
thrownWafuuKunai,items,Item,,,Kunai,くない
thrownWafuuKunai_desc,items,Item,,,"A weighted throwing blade used by shinobi. Causes bleeding on impact.","忍が使う重心配分された投擲刃。命中時に出血を引き起こす。"
thrownWafuuSmokeBomb,items,Item,,,Smoke Bomb,煙玉
thrownWafuuSmokeBomb_desc,items,Item,,,"A black powder ball that erupts into thick smoke. Obscures vision and disrupts zombie senses. (Aggro reset requires advanced modification.)","黒色火薬製の煙幕弾。視界を遮断しゾンビの感知を乱す。（アグロリセットは上位改造が必要。）"
resourceTamahagane,items,Item,,,Tamahagane (High-Carbon Steel),玉鋼
resourceTamahagane_desc,items,Item,,,"High-carbon steel smelted in a traditional forge. The soul of a Japanese blade.","伝統的な炉で製錬した高炭素鋼。和刀の魂。"
resourceKatanaBlade,items,Item,,,Katana Blade (Unfinished),刀身（未完成）
resourceKatanaBlade_desc,items,Item,,,"An unfinished blade forged from tamahagane. Requires expert finishing to become a weapon.","玉鋼から鍛えた未完成の刀身。熟練の仕上げが必要。"
buffWafuuSmoke10,buffs,Buff,,,Smoke Screen,煙幕
buffWafuuSmoke10_desc,buffs,Buff,,,"Thick smoke reduces noise by 50% for 10 seconds.","濃い煙で10秒間ノイズ50%減少。"
